column1,strokeCount,search_result
債,13,3.3533333333333335
催,13,3.263333333333333
再,6,2.743333333333333
最,12,1.9933333333333332
哉,9,2.15
塞,13,3.5500000000000003
妻,8,3.99
宰,10,3.3549999999999995
彩,11,4.276666666666666
才,3,2.9850000000000003
採,11,3.34
栽,10,4.0649999999999995
歳,13,2.42
済,11,2.3466666666666667
災,7,2.27
采,8,3.3266666666666667
犀,12,
砕,9,3.118
砦,11,3.7649999999999997
祭,11,2.614
斎,11,2.902
細,11,2.79
菜,11,4.223333333333333
裁,12,3.79
載,13,3.61
際,14,2.5966666666666667
剤,10,4.373333333333333
在,6,2.775
材,7,4.27
罪,13,2.2183333333333333
財,10,3.6475
冴,7,2.59
坂,7,4.323333333333333
阪,7,4.07
堺,12,4.36
榊,13,1.77
肴,8,2.26
咲,9,4.13
崎,11,4.74
埼,11,4.74
碕,13,4.74
鷺,24,4.38
作,7,2.8325
削,9,4.2575
咋,8,4.18
搾,13,3.75
昨,9,2.76
朔,10,3.0166666666666666
柵,9,3.896666666666667
窄,10,3.6816666666666666
策,12,3.008
索,10,3.5375
錯,16,2.6666666666666665
桜,10,4.62
鮭,17,4.81
笹,11,4.86
匙,11,4.96
冊,5,3.62
刷,8,4.31
拶,9,2.91
撮,15,3.87
擦,17,4.05
札,5,4.104
殺,10,3.41125
薩,17,2.07
雑,14,2.04
皐,11,4.875
鯖,19,4.89
捌,10,2.651111111111111
錆,16,3.905
鮫,17,4.93
皿,5,3.71
晒,10,3.685
三,3,3.62
傘,12,5.0
参,8,2.73125
山,3,4.96
惨,11,2.3425
撒,15,3.4
散,12,2.9675000000000002
桟,10,4.54
燦,17,2.07
珊,9,4.265000000000001
産,11,3.6016666666666666
算,14,2.842
纂,20,3.17
蚕,10,4.62
讃,22,2.965
賛,15,2.522
酸,14,3.255
餐,16,4.363333333333333
斬,11,3.755
暫,15,2.0725000000000002
残,10,3.3833333333333333
仕,5,3.0375
仔,5,2.9366666666666665
伺,7,2.888333333333333
使,8,3.1957142857142857
刺,8,3.995
司,5,2.92
史,5,2.96
嗣,13,2.77
四,5,3.37
士,3,4.0175
始,8,2.6950000000000003
姉,8,3.59
姿,9,3.3
子,3,4.053333333333334
屍,9,4.89
市,5,4.71
師,10,3.81
志,7,2.425
思,9,2.41
指,9,3.3516666666666666
支,4,3.7
孜,7,1.63
斯,12,1.87
施,9,2.6566666666666667
旨,6,2.83
枝,8,4.615
止,4,3.5300000000000002
死,6,3.4
氏,4,3.4933333333333336
獅,13,4.96
祉,8,2.585
私,7,3.66
糸,6,4.83
紙,10,4.93
紫,12,4.26
肢,8,4.805
脂,10,4.736
至,6,2.8933333333333335
視,11,2.77
詞,12,3.395
詩,13,3.765
試,13,2.758
誌,14,4.41
諮,16,3.04
資,13,3.283333333333333
賜,15,3.523333333333333
雌,14,3.49
飼,13,3.1325
歯,12,4.675
事,8,2.73
似,7,2.418
侍,8,3.9074999999999998
児,7,4.11
字,6,3.6075
寺,6,
慈,13,1.57
持,9,2.93
時,10,3.085
滋,12,2.635
治,8,2.4714285714285715
爾,14,3.2
璽,19,
痔,11,4.19
磁,14,4.665
示,5,3.164
而,6,1.67
耳,6,5.0
自,6,3.48
蒔,13,4.04
辞,13,2.7925
汐,6,3.623333333333333
鹿,11,4.86
式,6,2.715
識,19,2.48
鴫,16,3.37
竺,8,4.86
軸,12,3.918
宍,7,4.9
雫,11,3.8966666666666665
七,2,3.72
叱,5,2.5149999999999997
執,11,3.015
失,5,2.298
嫉,13,1.93
室,9,4.744
悉,11,2.7566666666666664
湿,12,4.09
漆,14,4.04
疾,10,2.5
質,15,2.7800000000000002
実,8,3.5439999999999996
蔀,14,3.8
篠,17,4.86
偲,11,2.1550000000000002
柴,10,4.734999999999999
芝,6,4.515
屡,12,2.19
蕊,15,3.75
縞,16,4.72
舎,8,4.806
写,5,2.6433333333333335
射,10,3.5525
捨,11,2.8449999999999998
赦,11,1.84
斜,11,3.4366666666666665
煮,12,4.26
社,7,3.87
紗,10,4.62
者,8,4.215
謝,17,2.89
車,7,4.89
遮,14,2.88
蛇,11,4.576666666666666
邪,8,1.78
借,10,3.29
勺,3,4.363333333333333
尺,4,3.5166666666666666
杓,7,4.525
灼,7,1.93
爵,17,4.225
酌,10,3.68
釈,11,1.87
錫,16,4.695
若,8,2.1616666666666666
寂,11,2.584
弱,10,2.67
惹,12,2.185
主,5,3.16
取,8,3.18
守,6,2.9699999999999998
手,4,4.72
朱,6,4.12
殊,10,1.4966666666666666
狩,9,3.1466666666666665
珠,10,4.903333333333333
種,14,3.2239999999999998
腫,13,4.345
趣,15,1.98
酒,10,3.75
首,9,4.585
儒,16,
受,8,2.9385714285714286
呪,8,2.8233333333333333
寿,7,2.17
授,11,2.59
樹,16,3.79
綬,14,4.89
需,14,2.16
囚,5,3.8400000000000003
収,4,3.4466666666666668
周,8,3.966666666666667
就,12,2.5283333333333333
州,6,3.31
修,10,2.6625
愁,13,2.1675
拾,9,3.148
洲,9,4.5175
秀,7,2.5025
秋,9,3.27
終,11,3.015
繍,17,3.1950000000000003
習,11,2.2
臭,9,3.04
舟,6,4.9
蒐,13,2.75
衆,12,2.5475
襲,22,3.4139999999999997
讐,23,2.185
蹴,19,4.33
輯,16,2.91
週,11,3.48
酋,9,3.44
酬,13,2.6433333333333335
集,12,3.41
醜,17,2.59
什,4,3.7066666666666666
住,7,3.1475
充,6,3.32
十,2,3.39
従,10,2.58875
戎,6,4.22
柔,9,2.6425
汁,5,4.691666666666666
渋,11,2.4025
獣,16,4.62
縦,16,3.4050000000000002
重,9,3.242857142857143
銃,14,4.9
叔,8,3.76
夙,6,3.1166666666666667
宿,11,3.65125
淑,11,2.256666666666667
祝,9,2.9699999999999998
縮,17,3.514
粛,11,2.53
塾,14,2.715
熟,15,2.515
出,5,3.0283333333333333
術,11,2.8216666666666668
述,8,2.9775
俊,9,2.6
峻,10,3.61
春,9,3.49
瞬,18,3.9433333333333334
竣,12,3.015
舜,13,4.1
駿,17,2.18
准,10,3.41
循,12,2.8049999999999997
旬,6,3.32
楯,13,3.46
殉,10,2.4499999999999997
淳,11,1.87
準,13,2.3200000000000003
潤,15,2.9514285714285715
盾,9,3.46
純,10,2.545
巡,6,3.6566666666666667
遵,15,2.4525
醇,15,1.9400000000000002
順,12,2.7283333333333335
処,5,2.7425
初,7,2.63
所,8,2.46
暑,12,3.353333333333333
曙,17,4.335
渚,11,4.56
庶,11,3.066666666666667
緒,14,3.4014285714285712
署,13,4.609999999999999
書,10,4.22
薯,16,4.85
藷,18,4.85
諸,15,2.615
助,7,2.75
叙,9,2.305
女,3,4.515000000000001
序,7,2.277142857142857
徐,10,2.715
恕,10,1.9966666666666666
鋤,15,4.46
除,10,2.44
傷,13,3.8044444444444445
償,17,2.4266666666666667
匠,6,3.85
升,4,3.52
召,5,3.4766666666666666
哨,10,3.835
商,11,3.06
唱,11,3.9475
嘗,14,2.80125
奨,13,2.27
妾,8,3.36
娼,11,4.28
宵,10,2.8833333333333333
将,10,2.48
小,3,3.4450000000000003
